Field,Average temperature [degC],Power density [MWe/km2],Tectonic setting,System type,Enthalpy classification
San Jacinto,275,14.02926456,Arc,Arc,Two-phase - liquid dominated
Sibayak,280,2.545288905,Arc,Arc,Two-phase - liquid dominated
Silangkitang,300,41.82806439,Arc,Arc,Two-phase - liquid dominated
Steamboat,145,3.472743139,Other,Deep circulation - magmatic,Hot water - intermediate temperature
Suginoi,210,1.25,Arc,Arc,Hot water - intermediate temperature
Sumikawa,250,11.88239853,Arc,Arc,Two-phase - liquid dominated
Svartsengi,240,28.39092616,Rift,Rift - basaltic,Two-phase - liquid dominated
Takigami,245,15.23502202,Arc,Arc,Two-phase - liquid dominated
Tiwi,270,11.14196427,Arc,Arc,Two-phase - liquid dominated
Tongonan,285,26.31578947,Arc,Arc,Two-phase - liquid dominated
Travale,300,8.177083333,Other,Not classified,Two-phase - liquid dominated
Tuscarora,172,16.55555556,Fault-based,Deep circulation,Hot water - intermediate temperature
Uenotai,310,5.806527255,Arc,Arc,Two-phase - liquid dominated
Ulubelu,270,20.0840477,Arc,Not classified,Two-phase - liquid dominated
Ulumbu,235,8.941177317,Arc,Arc,Two-phase - liquid dominated
Umurlu,175,4.321377423,,Not classified,Hot water - intermediate temperature
Wairakei-Tauhara,275,26.98691598,Rift,Rift - silicic,Two-phase - liquid dominated
Wayang Windu,250,14.48725471,Arc,Arc,Two-phase - liquid dominated
Wineagle,110,0.538461538,Fault-based,Deep circulation,Hot water - low temperature
Yamagawa,305,6.102604394,Arc,Arc,Two-phase - liquid dominated
Yanaizu-Nishiyama,300,7.474570865,Arc,Arc,Two-phase - liquid dominated
Yangbajain,175,3.007048054,Other,Not classified,Hot water - intermediate temperature
Zunil,290,13.52941176,Arc,Arc,Two-phase - liquid dominated
